MP_ID,MP_formula,MP_species,MP_NE,AFLOW_ID,AFLOW_formula,AFLOW_species,AFLOW_NE
mp-571350,Ba(AsPd)2,"['As', 'Ba', 'Pd']",3,aflow:df8b242db1e5fd9c,As1Ba1Pd1,"['As', 'Ba', 'Pd']",3
mp-8818,Ca2ZnN2,"['Ca', 'N', 'Zn']",3,aflow:40c9a9dbe6d94437,Ca2N2Zn1,"['Ca', 'N', 'Zn']",3
mp-1903,BaAl4,"['Al', 'Ba']",2,aflow:089db02d79e92ef6,Al4Ba1,"['Al', 'Ba']",2
mp-335,BaGa4,"['Ba', 'Ga']",2,aflow:c67b818b8f839e87,Ba1Ga4,"['Ba', 'Ga']",2
mp-22687,BaIn4,"['Ba', 'In']",2,aflow:348b8fa1616f2ea1,Ba1In4,"['Ba', 'In']",2
mp-552098,Bi2SeO2,"['Bi', 'O', 'Se']",3,aflow:bd39fcd8abd8e251,Bi2O2Se1,"['Bi', 'O', 'Se']",3
mp-8093,Ba2Cd,"['Ba', 'Cd']",2,aflow:0bc4e2ff418c3658,Ba2Cd1,"['Ba', 'Cd']",2
mp-9321,Ba2HfS4,"['Ba', 'Hf', 'S']",3,aflow:ba6be901fe06b58d,Ba2Hf1S4,"['Ba', 'Hf', 'S']",3
mp-8094,Ba2Hg,"['Ba', 'Hg']",2,aflow:5d5d9f727e2fbf3a,Ba2Hg1,"['Ba', 'Hg']",2
mp-9307,Ba2ZnN2,"['Ba', 'N', 'Zn']",3,aflow:8fd289702e4f6b8f,Ba2N2Zn1,"['Ba', 'N', 'Zn']",3
mp-8335,Ba2ZrO4,"['Ba', 'O', 'Zr']",3,aflow:cc9a5a5a57fa9414,Ba2O4Zr1,"['Ba', 'O', 'Zr']",3
mp-8937,CrSi2,"['Cr', 'Si']",2,aflow:6fac4436ce11af4d,Cr1Si2,"['Cr', 'Si']",2
mp-30339,ErAg2,"['Ag', 'Er']",2,aflow:f19f7d6d2d7a3b7f,Ag2Er1,"['Ag', 'Er']",2
mp-2466,ErAu2,"['Au', 'Er']",2,aflow:4526d8f300eaf61a,Au2Er1,"['Au', 'Er']",2
mp-2618,DyAg2,"['Ag', 'Dy']",2,aflow:7b84ba6979e466a2,Ag2Dy1,"['Ag', 'Dy']",2
mp-23484,CsAuCl3,"['Au', 'Cl', 'Cs']",3,aflow:3ea6e14c71841664,Au1Cl3Cs1,"['Au', 'Cl', 'Cs']",3
mp-13155,Hf2Ag,"['Ag', 'Hf']",2,aflow:bbfa0d883212ae9f,Ag1Hf2,"['Ag', 'Hf']",2
mp-1018154,Hf2Hg,"['Hf', 'Hg']",2,aflow:f85891c2a99e5be2,Hf2Hg1,"['Hf', 'Hg']",2
mp-1014231,Hf2Zn,"['Hf', 'Zn']",2,aflow:8edb02477ff643e9,Hf2Zn1,"['Hf', 'Zn']",2
mp-11387,HfGa3,"['Ga', 'Hf']",2,aflow:a9053c964a25e231,Ga3Hf1,"['Ga', 'Hf']",2
mp-27731,HfH2,"['H', 'Hf']",2,aflow:68396dc8ff75fb17,H2Hf1,"['H', 'Hf']",2
mp-2120,HoAg2,"['Ag', 'Ho']",2,aflow:b76039d9d889a419,Ag2Ho1,"['Ag', 'Ho']",2
mp-990,HoAu2,"['Au', 'Ho']",2,aflow:61be49548ff7b362,Au2Ho1,"['Au', 'Ho']",2
mp-27207,K2MgCl4,"['Cl', 'K', 'Mg']",3,aflow:88d04db0ca52280a,Cl4K2Mg1,"['Cl', 'K', 'Mg']",3
mp-31212,K2MgF4,"['F', 'K', 'Mg']",3,aflow:2bc02570aae29c7c,F4K2Mg1,"['F', 'K', 'Mg']",3
mp-9583,K2ZnF4,"['F', 'K', 'Zn']",3,aflow:55285999858648e4,F4K2Zn1,"['F', 'K', 'Zn']",3
mp-2367,LaC2,"['C', 'La']",2,aflow:235e67dbb6942937,C2La1,"['C', 'La']",2
mp-12716,LiTlPd2,"['Li', 'Pd', 'Tl']",3,aflow:1c331e13da810623,Li1Pd2Tl1,"['Li', 'Pd', 'Tl']",3
mp-601285,MnGaNi2,"['Ga', 'Mn', 'Ni']",3,aflow:cb99d1be4cdd1829,Ga1Mn1Ni2,"['Ga', 'Mn', 'Ni']",3
mp-5072,Rb2HgO2,"['Hg', 'O', 'Rb']",3,aflow:62d74a601aac5fea,Hg1O2Rb2,"['Hg', 'O', 'Rb']",3
mp-8861,Rb2MgF4,"['F', 'Mg', 'Rb']",3,aflow:4d347c2e6d4e5228,F4Mg1Rb2,"['F', 'Mg', 'Rb']",3
mp-10343,Sc2BC2,"['B', 'C', 'Sc']",3,aflow:a784a9c254d3c96e,B1C2Sc2,"['B', 'C', 'Sc']",3
mp-1018128,ScAg2,"['Ag', 'Sc']",2,aflow:efede5d94aeda377,Ag2Sc1,"['Ag', 'Sc']",2
mp-1018148,ScAu2,"['Au', 'Sc']",2,aflow:810fafde07d827ec,Au2Sc1,"['Au', 'Sc']",2
mp-1018149,ScCu2,"['Cu', 'Sc']",2,aflow:b3e48f3f8939997d,Cu2Sc1,"['Cu', 'Sc']",2
